Duration (in seconds),What is your age (# years)?,What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe - Text,In which country do you currently reside?,What is the highest level of formal education that you have attained or plan to attain within the next 2 years?,Select the title most similar to your current role (or most recent title if retired): - Selected Choice,Select the title most similar to your current role (or most recent title if retired): - Other - Text,What is the size of the company where you are employed?,Approximately how many individuals are responsible for data science workloads at your place of business?,Does your current employer incorporate machine learning methods into their business?
2898,25-29,Male,-1,Brazil,Bachelor’s degree,Data Analyst,-1,250-999 employees,15-19,We are exploring ML methods (and may one day put a model into production)
1761,25-29,Male,-1,"Iran, Islamic Republic of...",Master’s degree,Software Engineer,-1,"> 10,000 employees",14-Oct,I do not know
2593,50-54,Male,-1,Other,Master’s degree,Student,-1,,,
577,25-29,Male,-1,Belgium,Master’s degree,Statistician,-1,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
90,22-24,Male,-1,India,Bachelor’s degree,Software Engineer,-1,"> 10,000 employees",,
616,25-29,Male,-1,Taiwan,Master’s degree,Data Scientist,-1,0-49 employees,4-Mar,"We recently started using ML methods (i.e., models in production for less than 2 years)"
188,30-34,Male,-1,India,Bachelor’s degree,Other,-1,250-999 employees,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)"
461,40-44,Female,-1,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Statistician,-1,250-999 employees,4-Mar,We use ML methods for generating insights (but do not put working models into production)
48,30-34,Male,-1,France,Master’s degree,,-1,,,
1300,30-34,Male,-1,India,Master’s degree,Other,557,0-49 employees,0,No (we do not use ML methods)
1378,18-21,Female,-1,India,Master’s degree,Student,-1,,,
379,18-21,Male,-1,India,Bachelor’s degree,Student,-1,,,
414,25-29,Male,-1,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,-1,50-249 employees,9-May,"We have well established ML methods (i.e., models in production for more than 2 years)"
203,18-21,Male,-1,Ukraine,Bachelor’s degree,Other,558,0-49 employees,0,
421706,18-21,Male,-1,Other,Bachelor’s degree,Student,-1,,,
178,30-34,Male,-1,India,Bachelor’s degree,Software Engineer,-1,0-49 employees,0,No (we do not use ML methods)
570,22-24,Male,-1,Bangladesh,Bachelor’s degree,Student,-1,,,
2496,40-44,Male,-1,United Kingdom of Great Britain and Northern Ireland,Professional degree,Data Scientist,-1,50-249 employees,9-May,We are exploring ML methods (and may one day put a model into production)
886,22-24,Male,-1,United States of America,Bachelor’s degree,DBA/Database Engineer,-1,"> 10,000 employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)"
540,22-24,Male,-1,India,Bachelor’s degree,Student,-1,,,
701,40-44,Male,-1,Russia,Master’s degree,Data Engineer,-1,50-249 employees,14-Oct,We use ML methods for generating insights (but do not put working models into production)
465,45-49,Male,-1,Spain,Master’s degree,DBA/Database Engineer,-1,250-999 employees,0,We are exploring ML methods (and may one day put a model into production)
389,18-21,Male,-1,India,,,-1,,,
45251,22-24,Male,-1,Viet Nam,Master’s degree,Software Engineer,-1,0-49 employees,9-May,We are exploring ML methods (and may one day put a model into production)
222,18-21,Male,-1,China,Bachelor’s degree,Student,-1,,,
319,25-29,Male,-1,India,Bachelor’s degree,Software Engineer,-1,0-49 employees,2-Jan,"We recently started using ML methods (i.e., models in production for less than 2 years)"
588921,30-34,Male,-1,Argentina,Bachelor’s degree,Data Scientist,-1,0-49 employees,9-May,"We have well established ML methods (i.e., models in production for more than 2 years)"
1106,60-69,Male,-1,Mexico,Some college/university study without earning a bachelor’s degree,Data Scientist,-1,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
847,60-69,Male,-1,Brazil,Bachelor’s degree,Software Engineer,-1,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
624,40-44,Male,-1,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,-1,"1000-9,999 employees",4-Mar,"We recently started using ML methods (i.e., models in production for less than 2 years)"
721,35-39,Male,-1,Russia,Master’s degree,Data Scientist,-1,250-999 employees,9-May,"We have well established ML methods (i.e., models in production for more than 2 years)"
530,50-54,Male,-1,United States of America,Master’s degree,Software Engineer,-1,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
174,18-21,Male,-1,India,Bachelor’s degree,Software Engineer,-1,0-49 employees,4-Mar,"We recently started using ML methods (i.e., models in production for less than 2 years)"
718,18-21,Male,-1,Bangladesh,Bachelor’s degree,Student,-1,,,
716,25-29,Male,-1,Brazil,Master’s degree,Business Analyst,-1,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
353,30-34,Female,-1,Netherlands,Master’s degree,Not employed,-1,,,
109,22-24,Female,-1,India,Professional degree,Software Engineer,-1,"> 10,000 employees",20+,I do not know
585,18-21,Male,-1,India,Master’s degree,Student,-1,,,
65,30-34,Male,-1,Spain,Master’s degree,Software Engineer,-1,250-999 employees,15-19,
471829,25-29,Male,-1,China,Bachelor’s degree,Software Engineer,-1,50-249 employees,4-Mar,We are exploring ML methods (and may one day put a model into production)
545664,45-49,Male,-1,Other,Master’s degree,Other,559,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
577,25-29,Male,-1,Brazil,Some college/university study without earning a bachelor’s degree,Data Scientist,-1,"1000-9,999 employees",2-Jan,No (we do not use ML methods)
58603,50-54,Prefer not to say,-1,Australia,Bachelor’s degree,Not employed,-1,,,
236,18-21,Male,-1,United States of America,Bachelor’s degree,Student,-1,,,
1574,35-39,Male,-1,United States of America,Master’s degree,Not employed,-1,,,
220,18-21,Male,-1,India,Bachelor’s degree,Student,-1,,,
702,22-24,Male,-1,India,Doctoral degree,Student,-1,,,
492894,45-49,Male,-1,Other,Master’s degree,Data Analyst,-1,250-999 employees,2-Jan,No (we do not use ML methods)
939,35-39,Male,-1,United States of America,Doctoral degree,Data Scientist,-1,250-999 employees,9-May,"We recently started using ML methods (i.e., models in production for less than 2 years)"
1557,50-54,Male,-1,Colombia,Master’s degree,Business Analyst,-1,0-49 employees,2-Jan,"We have well established ML methods (i.e., models in production for more than 2 years)"
500,35-39,Female,-1,Other,Some college/university study without earning a bachelor’s degree,Data Scientist,-1,250-999 employees,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)"
2670,30-34,Male,-1,India,Doctoral degree,Data Analyst,-1,0-49 employees,2-Jan,No (we do not use ML methods)
376,30-34,Male,-1,Italy,Doctoral degree,Research Scientist,-1,0-49 employees,14-Oct,We use ML methods for generating insights (but do not put working models into production)
471,40-44,Male,-1,United States of America,Bachelor’s degree,Data Engineer,-1,"1000-9,999 employees",9-May,We are exploring ML methods (and may one day put a model into production)
405,25-29,Male,-1,Ukraine,Master’s degree,Software Engineer,-1,50-249 employees,14-Oct,"We have well established ML methods (i.e., models in production for more than 2 years)"
532315,25-29,Male,-1,Japan,Master’s degree,Data Scientist,-1,"1000-9,999 employees",20+,No (we do not use ML methods)
429,45-49,Male,-1,United States of America,Master’s degree,Other,106,"> 10,000 employees",0,I do not know
718,25-29,Male,-1,Czech Republic,Master’s degree,Research Scientist,-1,0-49 employees,14-Oct,"We have well established ML methods (i.e., models in production for more than 2 years)"
998,30-34,Female,-1,India,Master’s degree,Data Scientist,-1,"> 10,000 employees",15-19,"We recently started using ML methods (i.e., models in production for less than 2 years)"
874,50-54,Male,-1,India,Doctoral degree,Research Scientist,-1,50-249 employees,14-Oct,We use ML methods for generating insights (but do not put working models into production)
803,25-29,Male,-1,India,Bachelor’s degree,Product/Project Manager,-1,"1000-9,999 employees",0,No (we do not use ML methods)
130,45-49,Male,-1,United States of America,Master’s degree,Data Scientist,-1,250-999 employees,14-Oct,"We have well established ML methods (i.e., models in production for more than 2 years)"
1391,22-24,Male,-1,India,Bachelor’s degree,Product/Project Manager,-1,"> 10,000 employees",20+,No (we do not use ML methods)
193,18-21,Male,-1,Ireland,Master’s degree,Student,-1,,,
229,18-21,Male,-1,India,Bachelor’s degree,Software Engineer,-1,250-999 employees,20+,We are exploring ML methods (and may one day put a model into production)
132,25-29,Female,-1,Brazil,,,-1,,,
793,30-34,Female,-1,Other,Master’s degree,Software Engineer,-1,"1000-9,999 employees",20+,I do not know
356,25-29,Female,-1,India,Doctoral degree,Other,176,0-49 employees,20+,I do not know
592,30-34,Male,-1,France,Doctoral degree,Student,-1,,,
142,22-24,Male,-1,India,Bachelor’s degree,Data Analyst,-1,0-49 employees,0,I do not know
1011,50-54,Male,-1,France,Master’s degree,Product/Project Manager,-1,"> 10,000 employees",4-Mar,"We recently started using ML methods (i.e., models in production for less than 2 years)"
887,55-59,Male,-1,United States of America,Bachelor’s degree,Other,-1,0-49 employees,0,No (we do not use ML methods)
42093,40-44,Male,-1,Canada,Master’s degree,Software Engineer,-1,"1000-9,999 employees",14-Oct,"We recently started using ML methods (i.e., models in production for less than 2 years)"
114,25-29,Male,-1,South Africa,Some college/university study without earning a bachelor’s degree,Software Engineer,-1,0-49 employees,2-Jan,I do not know
187,30-34,Male,-1,Italy,Bachelor’s degree,Data Analyst,-1,250-999 employees,2-Jan,We use ML methods for generating insights (but do not put working models into production)
367,22-24,Female,-1,India,Master’s degree,Student,-1,,,
4412,35-39,Male,-1,Germany,Master’s degree,Software Engineer,-1,"1000-9,999 employees",2-Jan,We are exploring ML methods (and may one day put a model into production)
2675,40-44,Male,-1,Brazil,Doctoral degree,Data Scientist,-1,"> 10,000 employees",2-Jan,"We have well established ML methods (i.e., models in production for more than 2 years)"
39520,22-24,Male,-1,South Korea,Bachelor’s degree,Student,-1,,,
351,22-24,Male,-1,Egypt,Bachelor’s degree,Student,-1,,,
340,18-21,Female,-1,India,Bachelor’s degree,Student,-1,,,
268,40-44,Female,-1,Brazil,Professional degree,Research Scientist,-1,50-249 employees,9-May,"We have well established ML methods (i.e., models in production for more than 2 years)"
508,22-24,Male,-1,Other,Bachelor’s degree,Student,-1,,,
238,40-44,Male,-1,Argentina,Master’s degree,Software Engineer,-1,"1000-9,999 employees",9-May,"We recently started using ML methods (i.e., models in production for less than 2 years)"
369,18-21,Male,-1,United States of America,Some college/university study without earning a bachelor’s degree,Student,-1,,,
897,70+,Male,-1,United States of America,Doctoral degree,Other,560,50-249 employees,2-Jan,I do not know
1206,25-29,Female,-1,India,Master’s degree,Software Engineer,-1,0-49 employees,2-Jan,No (we do not use ML methods)
104,45-49,Male,-1,Spain,Master’s degree,Product/Project Manager,-1,50-249 employees,0,No (we do not use ML methods)
283,18-21,Male,-1,United States of America,Bachelor’s degree,Student,-1,,,
1009,55-59,Male,-1,Canada,Master’s degree,Data Scientist,-1,0-49 employees,2-Jan,"We recently started using ML methods (i.e., models in production for less than 2 years)"
598,45-49,Male,-1,Other,Master’s degree,Data Scientist,-1,250-999 employees,4-Mar,We are exploring ML methods (and may one day put a model into production)
768,60-69,Male,-1,Italy,Doctoral degree,Business Analyst,-1,50-249 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
168,18-21,Male,-1,India,Bachelor’s degree,DBA/Database Engineer,-1,0-49 employees,0,I do not know
419,30-34,Female,-1,Morocco,Doctoral degree,Student,-1,,,
289,25-29,Male,-1,Morocco,Master’s degree,Data Scientist,-1,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
259,25-29,Male,-1,Norway,Doctoral degree,Software Engineer,-1,50-249 employees,9-May,"We have well established ML methods (i.e., models in production for more than 2 years)"
127,22-24,Male,-1,India,Master’s degree,Student,-1,,,
704,25-29,Male,-1,United States of America,Bachelor’s degree,Other,561,250-999 employees,0,We are exploring ML methods (and may one day put a model into production)
5026,22-24,Female,-1,Ukraine,Bachelor’s degree,Data Scientist,-1,50-249 employees,4-Mar,We use ML methods for generating insights (but do not put working models into production)
450,50-54,Male,-1,United States of America,Bachelor’s degree,Product/Project Manager,-1,250-999 employees,0,No (we do not use ML methods)
9354,30-34,Male,-1,Nigeria,Master’s degree,Data Scientist,-1,0-49 employees,4-Mar,We are exploring ML methods (and may one day put a model into production)
395,40-44,Male,-1,United States of America,Bachelor’s degree,Data Engineer,-1,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
1806,45-49,Male,-1,Denmark,Master’s degree,Data Scientist,-1,250-999 employees,4-Mar,"We recently started using ML methods (i.e., models in production for less than 2 years)"
174,22-24,Male,-1,India,Bachelor’s degree,Not employed,-1,,,
220,18-21,Female,-1,India,Bachelor’s degree,Student,-1,,,
561,25-29,Male,-1,India,Bachelor’s degree,Not employed,-1,,,
473,22-24,Female,-1,Indonesia,Bachelor’s degree,Statistician,-1,0-49 employees,0,I do not know
595300,30-34,Male,-1,United States of America,Bachelor’s degree,Not employed,-1,,,
199,22-24,Male,-1,India,Bachelor’s degree,Student,-1,,,
148,25-29,Male,-1,Japan,Master’s degree,Product/Project Manager,-1,"> 10,000 employees",0,We use ML methods for generating insights (but do not put working models into production)
627,35-39,Male,-1,Nigeria,Master’s degree,Software Engineer,-1,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
170,18-21,Male,-1,India,I prefer not to answer,Student,-1,,,
558,25-29,Male,-1,Portugal,Master’s degree,Research Scientist,-1,0-49 employees,2-Jan,"We recently started using ML methods (i.e., models in production for less than 2 years)"
518859,50-54,Male,-1,Other,Doctoral degree,Data Scientist,-1,0-49 employees,9-May,"We have well established ML methods (i.e., models in production for more than 2 years)"
452,40-44,Male,-1,United States of America,Some college/university study without earning a bachelor’s degree,Software Engineer,-1,50-249 employees,2-Jan,We use ML methods for generating insights (but do not put working models into production)
171,25-29,Male,-1,Germany,Master’s degree,Student,-1,,,
317,30-34,Male,-1,Argentina,Bachelor’s degree,Software Engineer,-1,0-49 employees,0,No (we do not use ML methods)
322,30-34,Female,-1,Czech Republic,Master’s degree,Data Scientist,-1,0-49 employees,2-Jan,I do not know
440,30-34,Male,-1,India,Bachelor’s degree,Data Analyst,-1,"> 10,000 employees",20+,I do not know
384,30-34,Female,-1,Thailand,Some college/university study without earning a bachelor’s degree,Data Scientist,-1,0-49 employees,2-Jan,I do not know
876,30-34,Male,-1,Spain,Master’s degree,Data Scientist,-1,250-999 employees,4-Mar,"We recently started using ML methods (i.e., models in production for less than 2 years)"
56049,30-34,Male,-1,Brazil,Master’s degree,Student,-1,,,
522905,50-54,Male,-1,Ukraine,Master’s degree,Software Engineer,-1,50-249 employees,2-Jan,No (we do not use ML methods)
267,35-39,Male,-1,Brazil,Doctoral degree,Research Scientist,-1,50-249 employees,9-May,No (we do not use ML methods)
439,22-24,Female,-1,Poland,Master’s degree,Data Analyst,-1,"> 10,000 employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)"
376,25-29,Male,-1,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Not employed,-1,,,
304,18-21,Male,-1,India,Some college/university study without earning a bachelor’s degree,Student,-1,,,
572,45-49,Male,-1,United States of America,Some college/university study without earning a bachelor’s degree,Product/Project Manager,-1,"1000-9,999 employees",14-Oct,I do not know
179,25-29,Male,-1,France,Master’s degree,Software Engineer,-1,"1000-9,999 employees",0,I do not know
1447,45-49,Male,-1,Canada,Master’s degree,Business Analyst,-1,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
746,25-29,Male,-1,Portugal,Doctoral degree,Research Scientist,-1,0-49 employees,2-Jan,I do not know
984,18-21,Male,-1,United States of America,Some college/university study without earning a bachelor’s degree,Student,-1,,,
248,30-34,Male,-1,Canada,Bachelor’s degree,Data Analyst,-1,250-999 employees,4-Mar,We are exploring ML methods (and may one day put a model into production)
79,30-34,Male,-1,Japan,Master’s degree,Software Engineer,-1,"1000-9,999 employees",9-May,
248,30-34,Male,-1,Netherlands,,,-1,,,
131,35-39,Male,-1,Russia,Professional degree,DBA/Database Engineer,-1,250-999 employees,14-Oct,"We recently started using ML methods (i.e., models in production for less than 2 years)"
46,22-24,Male,-1,Ukraine,Bachelor’s degree,Data Scientist,-1,0-49 employees,,
414,45-49,Female,-1,France,Doctoral degree,Research Scientist,-1,250-999 employees,20+,I do not know
411,25-29,Male,-1,Greece,Some college/university study without earning a bachelor’s degree,Other,-1,"1000-9,999 employees",0,No (we do not use ML methods)
477,22-24,Male,-1,Other,Master’s degree,Student,-1,,,
129,30-34,Male,-1,Japan,Master’s degree,Data Scientist,-1,"1000-9,999 employees",4-Mar,"We have well established ML methods (i.e., models in production for more than 2 years)"
113,22-24,Female,-1,India,Master’s degree,Student,-1,,,
507,60-69,Male,-1,Hungary,Master’s degree,Software Engineer,-1,50-249 employees,9-May,"We recently started using ML methods (i.e., models in production for less than 2 years)"
755,25-29,Male,-1,India,Bachelor’s degree,Data Scientist,-1,"> 10,000 employees",2-Jan,"We recently started using ML methods (i.e., models in production for less than 2 years)"
289673,50-54,Male,-1,Japan,Master’s degree,Product/Project Manager,-1,"> 10,000 employees",4-Mar,"We have well established ML methods (i.e., models in production for more than 2 years)"
587,25-29,Male,-1,Greece,Master’s degree,Data Scientist,-1,50-249 employees,2-Jan,We use ML methods for generating insights (but do not put working models into production)
514,22-24,Male,-1,India,Bachelor’s degree,Data Scientist,-1,"> 10,000 employees",14-Oct,"We recently started using ML methods (i.e., models in production for less than 2 years)"
639,18-21,Male,-1,China,Some college/university study without earning a bachelor’s degree,Student,-1,,,
503,35-39,Male,-1,Argentina,Bachelor’s degree,Software Engineer,-1,"1000-9,999 employees",20+,I do not know
353327,30-34,Female,-1,United States of America,Doctoral degree,Data Scientist,-1,"> 10,000 employees",15-19,"We recently started using ML methods (i.e., models in production for less than 2 years)"
1021,22-24,Female,-1,India,Master’s degree,Student,-1,,,
641,35-39,Male,-1,Colombia,Doctoral degree,Research Scientist,-1,"1000-9,999 employees",20+,We are exploring ML methods (and may one day put a model into production)
113,60-69,Female,-1,United States of America,No formal education past high school,Other,359,0-49 employees,,
517648,25-29,Male,-1,Viet Nam,Bachelor’s degree,Other,487,"1000-9,999 employees",4-Mar,"We recently started using ML methods (i.e., models in production for less than 2 years)"
279,18-21,Male,-1,India,Bachelor’s degree,Data Scientist,-1,0-49 employees,0,We are exploring ML methods (and may one day put a model into production)
1687,22-24,Male,-1,United States of America,Bachelor’s degree,Data Scientist,-1,50-249 employees,9-May,"We recently started using ML methods (i.e., models in production for less than 2 years)"
61,18-21,Male,-1,India,,,-1,,,
31219,45-49,Male,-1,India,Master’s degree,Product/Project Manager,-1,50-249 employees,0,No (we do not use ML methods)
2006,40-44,Male,-1,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,-1,"1000-9,999 employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)"
742,22-24,Male,-1,Kenya,Bachelor’s degree,Student,-1,,,
238,30-34,Male,-1,Israel,Master’s degree,Data Scientist,-1,"> 10,000 employees",2-Jan,We use ML methods for generating insights (but do not put working models into production)
406,40-44,Male,-1,Brazil,Bachelor’s degree,Not employed,-1,,,
79,55-59,Female,-1,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Other,176,"1000-9,999 employees",20+,
213,30-34,Male,-1,India,Master’s degree,Business Analyst,-1,"> 10,000 employees",20+,We use ML methods for generating insights (but do not put working models into production)
131662,22-24,Male,-1,United States of America,Bachelor’s degree,Other,562,"> 10,000 employees",4-Mar,"We recently started using ML methods (i.e., models in production for less than 2 years)"
649,35-39,Male,-1,Canada,Bachelor’s degree,Business Analyst,-1,"> 10,000 employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)"
124,55-59,Male,-1,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Other,-1,"1000-9,999 employees",4-Mar,I do not know
729,30-34,Female,-1,India,,,-1,,,
132,18-21,Male,-1,India,Master’s degree,Student,-1,,,
708,22-24,Male,-1,India,Professional degree,Data Analyst,-1,250-999 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
1379,22-24,Female,-1,Bangladesh,Bachelor’s degree,Student,-1,,,
520751,50-54,Female,-1,Mexico,Doctoral degree,Statistician,-1,0-49 employees,2-Jan,No (we do not use ML methods)
6995,25-29,Female,-1,Nigeria,Bachelor’s degree,Data Scientist,-1,0-49 employees,9-May,"We recently started using ML methods (i.e., models in production for less than 2 years)"
25690,35-39,Male,-1,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,-1,"1000-9,999 employees",4-Mar,We are exploring ML methods (and may one day put a model into production)
618,40-44,Male,-1,Egypt,Bachelor’s degree,Data Engineer,-1,250-999 employees,9-May,No (we do not use ML methods)
280,18-21,Female,-1,Nigeria,Master’s degree,Data Scientist,-1,0-49 employees,,
952,30-34,Male,-1,India,Master’s degree,Data Scientist,-1,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
63,22-24,Male,-1,China,,,-1,,,
37,50-54,Male,-1,France,,,-1,,,
344,55-59,Male,-1,Spain,Master’s degree,Product/Project Manager,-1,"> 10,000 employees",2-Jan,No (we do not use ML methods)
323,40-44,Male,-1,France,Master’s degree,Data Engineer,-1,"> 10,000 employees",0,No (we do not use ML methods)
486,40-44,Female,-1,Italy,Doctoral degree,Data Scientist,-1,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
1037,30-34,Male,-1,Singapore,Bachelor’s degree,Business Analyst,-1,50-249 employees,9-May,We are exploring ML methods (and may one day put a model into production)
3250,35-39,Male,-1,United States of America,Master’s degree,Research Scientist,-1,250-999 employees,4-Mar,We use ML methods for generating insights (but do not put working models into production)
438,25-29,Male,-1,India,Master’s degree,Other,563,"> 10,000 employees",20+,I do not know
986,45-49,Male,-1,Japan,Some college/university study without earning a bachelor’s degree,Software Engineer,-1,50-249 employees,0,We are exploring ML methods (and may one day put a model into production)
450,35-39,Male,-1,Poland,Master’s degree,Other,564,"> 10,000 employees",20+,We are exploring ML methods (and may one day put a model into production)
50,22-24,Male,-1,India,,,-1,,,
108,35-39,Male,-1,United States of America,Doctoral degree,Product/Project Manager,-1,0-49 employees,2-Jan,"We have well established ML methods (i.e., models in production for more than 2 years)"
436,18-21,Male,-1,India,Bachelor’s degree,Student,-1,,,
11567,25-29,Male,-1,Nigeria,Bachelor’s degree,Student,-1,,,
867,25-29,Female,-1,Italy,Master’s degree,Data Scientist,-1,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
249,40-44,Male,-1,United States of America,Master’s degree,Product/Project Manager,-1,50-249 employees,4-Mar,We are exploring ML methods (and may one day put a model into production)
45,30-34,Male,-1,Japan,,,-1,,,
836,50-54,Male,-1,Germany,Doctoral degree,Not employed,-1,,,
1862,40-44,Male,-1,India,Doctoral degree,Data Scientist,-1,50-249 employees,4-Mar,"We have well established ML methods (i.e., models in production for more than 2 years)"
303,40-44,Male,-1,Japan,Master’s degree,Data Scientist,-1,"> 10,000 employees",15-19,"We have well established ML methods (i.e., models in production for more than 2 years)"
767,35-39,Male,-1,Poland,Master’s degree,Business Analyst,-1,"1000-9,999 employees",20+,We use ML methods for generating insights (but do not put working models into production)
141,40-44,Male,-1,Brazil,Bachelor’s degree,Business Analyst,-1,"1000-9,999 employees",4-Mar,No (we do not use ML methods)
469,25-29,Male,-1,Germany,Master’s degree,Data Engineer,-1,0-49 employees,4-Mar,We are exploring ML methods (and may one day put a model into production)
2470,35-39,Male,-1,India,Bachelor’s degree,Product/Project Manager,-1,"> 10,000 employees",4-Mar,"We recently started using ML methods (i.e., models in production for less than 2 years)"
2743,25-29,Male,-1,India,Bachelor’s degree,Data Analyst,-1,50-249 employees,15-19,No (we do not use ML methods)
323,50-54,Male,-1,Italy,Master’s degree,Data Scientist,-1,250-999 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
83,30-34,Female,-1,Germany,Bachelor’s degree,DBA/Database Engineer,-1,"> 10,000 employees",9-May,
552,45-49,Male,-1,United States of America,Master’s degree,DBA/Database Engineer,-1,0-49 employees,0,No (we do not use ML methods)
419,18-21,Male,-1,India,Bachelor’s degree,Student,-1,,,
711,25-29,Male,-1,Germany,Master’s degree,Data Scientist,-1,0-49 employees,9-May,"We recently started using ML methods (i.e., models in production for less than 2 years)"
100,35-39,Male,-1,United States of America,Doctoral degree,Other,143,,,
2953,40-44,Male,-1,United States of America,Doctoral degree,Research Scientist,-1,"> 10,000 employees",15-19,We use ML methods for generating insights (but do not put working models into production)
385,22-24,Male,-1,Pakistan,Bachelor’s degree,Student,-1,,,
2774,22-24,Male,-1,India,Bachelor’s degree,Student,-1,,,
457,50-54,Male,-1,Israel,Bachelor’s degree,Data Analyst,-1,0-49 employees,9-May,No (we do not use ML methods)
496,40-44,Female,-1,United States of America,Bachelor’s degree,Other,565,0-49 employees,0,I do not know
391,18-21,Male,-1,India,Bachelor’s degree,Student,-1,,,
763,22-24,Male,-1,India,Bachelor’s degree,Research Scientist,-1,0-49 employees,4-Mar,"We have well established ML methods (i.e., models in production for more than 2 years)"
113,25-29,Male,-1,United States of America,Doctoral degree,Student,-1,,,
432341,30-34,Male,-1,United States of America,Bachelor’s degree,Software Engineer,-1,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
1682,30-34,Male,-1,Peru,Some college/university study without earning a bachelor’s degree,Software Engineer,-1,50-249 employees,0,No (we do not use ML methods)
128,25-29,Male,-1,Japan,Bachelor’s degree,Software Engineer,-1,50-249 employees,4-Mar,We use ML methods for generating insights (but do not put working models into production)
833,50-54,Male,-1,South Africa,Bachelor’s degree,Software Engineer,-1,"> 10,000 employees",0,No (we do not use ML methods)
74039,40-44,Female,-1,Other,Doctoral degree,Data Scientist,-1,250-999 employees,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)"
134,18-21,Male,-1,India,Master’s degree,Data Scientist,-1,0-49 employees,4-Mar,
46,18-21,Female,-1,United States of America,,,-1,,,
2631,22-24,Male,-1,Russia,Master’s degree,Business Analyst,-1,250-999 employees,14-Oct,No (we do not use ML methods)
1263,25-29,Male,-1,United States of America,Bachelor’s degree,Business Analyst,-1,"1000-9,999 employees",,
223,25-29,Male,-1,Netherlands,Master’s degree,Student,-1,,,
241,18-21,Male,-1,India,Master’s degree,Student,-1,,,
500,18-21,Male,-1,Nigeria,Bachelor’s degree,Software Engineer,-1,0-49 employees,2-Jan,"We recently started using ML methods (i.e., models in production for less than 2 years)"
879,30-34,Male,-1,France,Doctoral degree,Data Scientist,-1,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
944,50-54,Male,-1,Japan,Bachelor’s degree,Software Engineer,-1,50-249 employees,0,We are exploring ML methods (and may one day put a model into production)
427,18-21,Male,-1,China,Bachelor’s degree,Student,-1,,,
399,40-44,Male,-1,India,Master’s degree,Other,-1,"> 10,000 employees",20+,We are exploring ML methods (and may one day put a model into production)
201,18-21,Male,-1,Germany,Master’s degree,Student,-1,,,
93,18-21,Male,-1,India,Bachelor’s degree,Student,-1,,,
3491,30-34,Male,-1,Germany,Doctoral degree,Data Scientist,-1,250-999 employees,14-Oct,"We recently started using ML methods (i.e., models in production for less than 2 years)"
92,25-29,Female,-1,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,-1,"> 10,000 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
204,18-21,Male,-1,Viet Nam,Bachelor’s degree,Student,-1,,,
1898,30-34,Male,-1,Russia,Bachelor’s degree,Business Analyst,-1,250-999 employees,4-Mar,No (we do not use ML methods)
703,22-24,Male,-1,Pakistan,Bachelor’s degree,Data Scientist,-1,0-49 employees,4-Mar,We use ML methods for generating insights (but do not put working models into production)
206,55-59,Male,-1,Taiwan,Master’s degree,Product/Project Manager,-1,50-249 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
587,35-39,Male,-1,United States of America,Doctoral degree,Software Engineer,-1,250-999 employees,4-Mar,No (we do not use ML methods)
